AvgMonthlyEarnings,Longitude,Latitude
25158.431043249464,-122.3351788057554,47.62132875899281
36360.35827307106,-122.38421723333333,47.66810528333333
20769.716089741276,-122.3223434375,47.67841734375
89917.83709368246,-122.32905471627907,47.600852716279064
29507.42039303048,-122.35491614678898,47.62094488990826
30292.214510254747,-122.34636523715415,47.61584194466403
98115.33281038098,-122.32270063358779,47.61220646564885
65703.18812400696,-122.31456870930232,47.65933719767442
103191.10104277599,-122.33740781967214,47.60935752459016
54361.71034426631,-122.3505709090909,47.65077136363636
